,LPS,ATP,LY294-002,LPS_start,ATP_start,LY294-002_start,LPS_end,ATP_end,LY294-002_end,measure_time1,measure_time2,AKT,pAKT,PI3Ks,PI3K,GSK3B,pGSK3B,PTEN,pPTEN,PIP2,PIP3,P2Y12act,P2Y12s,Gio,Phagocytosis,AKT_2,pAKT_2,PI3Ks_2,PI3K_2,GSK3B_2,pGSK3B_2,PTEN_2,pPTEN_2,PIP2_2,PIP3_2,P2Y12act_2,P2Y12s_2,Gio_2,Phagocytosis_2
0,2.038872472358309,0.40022004873200606,0.37092257088367164,60.0,60.0,60.0,120.0,120.0,120.0,120,300,1.2569287943493808,0.5301395999788351,1.166239500313868,0.7466120434535091,1.0721791455684526,0.559748257530977,24.470712041035007,0.539691913823736,1.1650063816496077,0.3245005730311028,1.0462092476460492,0.987061357304336,1.0283508468627858,0.02812817346111841,0.9999999971369872,1.0000000055551848,0.9999999940994684,1.0000000089937793,0.9999999993073887,1.0000000057141316,1.000000006882849,0.9999999998747177,0.9999999980592211,1.0000000083504923,1.0004647650541687,0.9998698652508482,1.0003139939989607,0.8337953722601568
1,0.3862356629989253,1.8736070794753623,3.095028830419982,60.0,60.0,60.0,120.0,120.0,120.0,120,300,1.2964690612120484,0.48017940949171894,1.4848531706658343,0.2609701430444119,1.0806730189363467,0.5088208904799435,7.925797242674531,0.854856358203321,1.1948070037711542,0.20047203978002795,1.2027115639595214,0.9432405280250309,1.1175347373095927,0.1136311128497161,0.9999999871501436,1.0000000266330336,0.9999999739937292,1.0000000396395874,0.9999999963282441,1.0000000259006874,1.0000000090439327,0.9999999998368377,0.9999999922385905,1.0000000330552776,1.0020506210954465,0.9994258237281193,1.0013836149284463,0.8692808824985108
2,0.3552978160921494,2.1697771924570213,0.8168817853611832,60.0,60.0,120.0,120.0,120.0,180.0,180,360,1.152420551455524,0.7098876083732396,1.2806190596779177,0.5722707902465718,1.0403484257282647,0.7367117032345418,0.9628310975412347,1.0008755252565031,1.0898557282490942,0.6261238382613254,1.050677666641142,0.9858101948261735,1.0330464539008644,0.459042934571962,0.9926830742392951,1.0155795101036025,0.9999999936235865,1.0000000097191326,1.2982538091329097,1.3134109036322954,0.7844487519852685,1.0054954578723307,0.9956528337176784,1.0217935330414987,1.0005022527692569,0.9998593686473349,1.0003393134606056,1.0061859795961088
3,2.2741582890633065,0.9456713058078343,1.5594375562284832,60.0,60.0,120.0,120.0,120.0,180.0,180,360,1.2153420943878321,0.6050781974127406,1.3857296697935295,0.41205758786603464,1.0574154576371924,0.6356072746653016,0.9485146920787553,1.0012127655594538,1.1286599620752065,0.4676018592399487,1.0232910923803544,0.993478467242173,1.015443678544064,0.32118184627664226,0.9926830756827262,1.0155795070364435,0.9999999970912146,1.0000000044336645,1.2982538097761795,1.3134108988996036,0.7844487486717847,1.0054954579438249,0.9956528347723649,1.0217935284024149,1.0002291044158398,0.9999358505016928,1.0001548255736705,0.960839783655314
4,0.2998153831946517,2.0510098486537474,0.4234621198993192,60.0,60.0,90.0,120.0,120.0,210.0,210,390,1.0958777486463365,0.8115919088545561,1.1832111720804632,0.7207432383874217,1.025203445499801,0.8314212889453354,0.976246635535095,1.0005591849635196,1.0565913219692051,0.7634158361030952,1.0223398888185364,0.9937448053378433,1.0148510527869727,0.6051310434594924,0.9900395955695832,1.0212777307405125,0.9999999972121428,1.0000000042493407,1.449359615217256,1.4767749238204666,0.7093387725910634,1.0072991219157663,0.9940914982209774,1.0294400005101518,1.0002195805017557,0.9999385172086316,1.0001483916819363,1.1101178685484328
5,1.0579729578179367,0.4259400947382312,4.892762993563966,60.0,60.0,90.0,120.0,120.0,210.0,210,390,1.2952923405480927,0.4850785125771123,1.5362759098546834,0.18258983765801834,1.0793370365384847,0.5140640545526571,0.9314300283222531,1.0016132469408452,1.1904043566549851,0.21894405539095363,1.0049785355508076,0.9986060042997721,1.0033494720957756,0.33106754521548415,0.9900395965516573,1.0212777285952652,0.999999999410752,1.000000000898148,1.4493596154819255,1.476774922329483,0.709338773286102,1.0072991218607306,0.9940914986519772,1.0294399984795357,1.0000464551661277,0.9999869925025147,1.00003141777627,1.0457793858059286
6,3.0749912132300214,0.49673055449702447,2.9231871524261437,60.0,60.0,60.0,120.0,120.0,240.0,240,420,1.267326221547985,0.5253382496006638,1.47752811643741,0.2721352423098679,1.0716462176938415,0.5556689063616362,0.9372515791116857,1.0014771813402397,1.1653666696548688,0.31925116254770763,1.0026837050783144,0.9992485594818905,1.0018096046815133,0.3891069213508194,0.9879086908943391,1.0258792545606443,0.9999999997014133,1.0000000004551193,1.6004416023377883,1.6403471920784287,0.6484529060600118,1.0087209721735493,0.992825313519984,1.0355613193180435,1.0000235712088672,0.9999934000369728,1.0000159536283544,1.1346324015399827
7,1.0272598733454557,0.7517730505969967,0.17483137910489124,60.0,60.0,60.0,120.0,120.0,240.0,240,420,1.0454611498076418,0.9081706442827638,1.0904755718330814,0.8620940256624983,1.0118734015797528,0.9188303622431822,0.9885912140896452,1.0002683272048396,1.0270456041395128,0.8864562497465617,1.0040175778367881,0.9988750735693135,1.0027063293293617,0.6771289144582289,0.9879086898796003,1.0258792547910076,0.9999999995324801,1.0000000007126095,1.6004416022626575,1.640347192334226,0.6484529098559396,1.0087209722737607,0.9928253135784917,1.0355613198714875,1.0000368713321008,0.9999896759871086,1.0000249414592732,1.191525238542579
8,0.875135297978753,0.5079138857218934,0.8030231813011133,60.0,60.0,0.0,120.0,120.0,0.0,120,300,1.1815077047471376,0.6524931831067735,0.9999993298224971,1.0000010215055213,1.0521265750910596,0.6807343187691515,14.678509395278095,0.7213652343403878,1.1103329335231245,0.5438914864161791,1.058361988056376,0.9836585759568061,1.0356384016172862,0.06369714623502339,0.9999999967773323,1.0000000067152397,0.9999999925372888,1.0000000113749032,0.99999999885545,1.0000000068897277,1.0000000076257358,0.9999999998636686,0.9999999975321585,1.0000000102745321,1.000587850127512,0.9998354012881889,1.0003971052421805,0.8487573644174071
9,0.8151620383004736,0.8509969634040384,1.4932650363452973,60.0,60.0,0.0,120.0,120.0,0.0,120,300,1.1772942796259998,0.6599806900227297,0.9999989100669875,1.0000016613100038,1.0509215618125254,0.6880077750088706,13.98755981245909,0.7346931132707064,1.1074470788356547,0.5553702520118996,1.0963013103633126,0.9730355219027398,1.0579681431855306,0.06824135459486069,0.9999999939815741,1.0000000124476704,0.9999999876613143,1.0000000188070197,0.9999999984098961,1.0000000111981842,1.0000000070587212,0.9999999998709923,0.9999999962343871,1.0000000160631684,1.0009721769860753,0.9997277893240127,1.0006565145717852,0.85054908542643
